,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,DI_sem,Stat Par_sem,Avg Odds_sem,Eq Opp_sem,Theil_sem,prec_sem,rec_sem,acc_sem,bal_acc_sem
VGAN-norm-b-1_sex,0.037,0.005333333333333332,0.17600000000000002,0.29066666666666663,0.14233333333333334,0.6106666666666666,0.574,0.8036666666666666,0.727,0.014422205101855958,0.01975123062270073,0.0030550504633038962,0.0006666666666666718,0.0029627314724385225,0.007055336829505583,0.013203534880225552,0.0014529663145135413,0.00351188458428426
VGAN-norm-b-25_sex,0.315,-0.28200000000000003,0.06933333333333333,0.15633333333333332,0.122,0.6056666666666667,0.6556666666666667,0.8086666666666668,0.7576666666666667,0.013796134724383263,0.01703917055884273,0.0032829526005986975,0.0023333333333333344,0.0023094010767585054,0.005783117190965837,0.011695203195232578,0.0018559214542766508,0.003480102169636854
VGAN-norm-b-50_sex,0.391,-0.4046666666666667,0.033,0.12266666666666666,0.113,0.5823333333333333,0.7080000000000001,0.8013333333333333,0.77,0.06185736280616344,0.0635461337227617,0.0251064400768674,0.031434234698988796,0.0020816659994661348,0.016045075395411643,0.016289055630494122,0.006887992773257245,0.0028867513459481155
VGAN-ordi-gmm-b-0_sex,0.035333333333333335,0.008,0.10933333333333334,0.114,0.12233333333333334,0.556,0.68,0.7853333333333333,0.75,0.013295780450119421,0.02715388247255507,0.005811865258054229,0.0005773502691896263,0.0032829526005987023,0.013279056191361405,0.018009256878986787,0.006359594676112985,0.0020816659994661525
VGAN-ordi-gmm-b-100_sex,0.5933333333333334,-0.7796666666666666,-0.15,-0.14333333333333334,0.09899999999999999,0.5453333333333333,0.7833333333333333,0.7836666666666666,0.7836666666666666,0.0282213473180223,0.026591560900238845,0.008504900548115379,0.011318617897566436,0.002,0.013531855420122954,0.016230971765253153,0.007859884081701077,0.0006666666666666718
VGAN-ordi-gmm-b-10_sex,0.04666666666666667,-0.04566666666666667,0.08333333333333333,0.077,0.11466666666666665,0.5219999999999999,0.7266666666666667,0.7643333333333334,0.7516666666666666,0.027424644229435528,0.02437439457937594,0.0029059326290271172,0.006557438524302001,0.004841946348777985,0.025423086620891124,0.030338827341287334,0.016475571141676536,0.0031797973380565036
VGAN-ordi-gmm-b-1_sex,0.028333333333333335,-0.006999999999999999,0.10066666666666667,0.10266666666666667,0.12266666666666666,0.5536666666666666,0.6766666666666667,0.781,0.7456666666666667,0.014892205269125786,0.019857828011475308,0.003179797338056485,0.006741249472052228,0.005456901847914971,0.03114660673510217,0.03466666666666664,0.017058722109231997,0.0029627314724385303
VGAN-ordi-gmm-b-25_sex,0.27499999999999997,-0.3243333333333333,0.0009999999999999985,0.006333333333333334,0.10866666666666668,0.5353333333333333,0.7483333333333334,0.7766666666666667,0.7673333333333333,0.10020146372849718,0.12365318884327693,0.04561067126598044,0.05084070984730424,0.0021858128414340016,0.0008819171036881907,0.008685876147196925,0.0006666666666666718,0.003282952600598694
VGAN-ordi-gmm-b-50_sex,0.42933333333333334,-0.524,-0.06566666666666666,-0.062,0.10333333333333333,0.5433333333333333,0.7653333333333334,0.7823333333333333,0.777,0.03185557687089936,0.05577036249956902,0.016954186634706027,0.01452583904633395,0.0020275875100994045,0.00664161961505709,0.009243616415908026,0.003756475889861567,0.0005773502691896263
VGAN-ordi-norm-b-0_sex,0.22766666666666668,-0.12666666666666668,0.043666666666666666,0.071,0.17933333333333334,0.665,0.39999999999999997,0.7986666666666666,0.665,0.055645704636067335,0.06069138690493441,0.012836579675979806,0.01484362938547488,0.014768585277917152,0.029461839725312484,0.06841296173484478,0.0003333333333333614,0.023180451534284937
