,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,var
33,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_3_9_0.csv,0.648,-0.350761857,-0.093596686,-0.137431193,0.189931326,0.623,0.36,0.788,0.644,0.752654906
34,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_4_9_0.csv,0.627,-0.143195947,-0.007512586,0.002304074,0.227313278,0.774,0.19,0.786,0.586,0.83676439
35,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_5_9_0.csv,0.719,-0.349270506,-0.064396803,-0.079362907,0.182420989,0.738,0.372,0.812,0.664,0.895070647
36,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_6_9_0.csv,0.719,-0.36469222,-0.076370172,-0.108934188,0.172608791,0.757,0.399,0.82,0.678,0.82796711
37,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_7_9_0.csv,0.69,-0.367767124,-0.05270367,-0.050153805,0.173712362,0.727,0.407,0.815,0.679,0.829100112
38,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_8_9_0.csv,0.812,-0.403174255,-0.128500595,-0.176124736,0.212552001,0.584,0.289,0.773,0.611,0.723902652
39,../gan_data/adult/adult-VGAN-1hot-norm-split-60/9//sample_data_9_9_0.csv,0.787,-0.172268166,-0.069473043,-0.121123144,0.240309069,0.692,0.153,0.773,0.565,0.781564559
40,../gan_data/adult/adult-VGAN-WTRAIN-split//sample_data_0_99_0.csv,0.994,-0.487048192,-0.214106905,-0.352101237,0.202923502,0.675,0.304,0.791,0.628,0.955962844
41,../gan_data/adult/adult-VGAN-WTRAIN-split//sample_data_1_99_0.csv,1.0,-0.000914094,-0.000409958,-0.000687795,0.280332982,0.813,0.001,0.752,0.5,0.946009941
42,../gan_data/adult/adult-VGAN-WTRAIN-split//sample_data_2_99_0.csv,,0.000111262,-1.18e-05,-0.000100517,0.280380505,0.333,0.0,0.752,0.5,1.289506328
43,../gan_data/adult/adult-VGAN-WTRAIN-split//sample_data_3_99_0.csv,0.875,0.101833373,0.018318914,-0.000105916,0.288509493,0.001,0.0,0.737,0.49,1.054059032
44,../gan_data/adult/adult-VGAN-WTRAIN-split//sample_data_4_99_0.csv,0.4,-0.133488551,0.034497234,0.081066814,0.208941511,0.696,0.273,0.79,0.617,0.850187889
45,../gan_data/adult/adult-VGAN-WTRAIN-split//sample_data_5_99_0.csv,0.642,-0.014354376,-0.006618145,-0.009892796,0.2794455,0.353,0.008,0.751,0.502,1.334950134
46,../gan_data/adult/adult-VGAN-WTRAIN-split//sample_data_6_99_0.csv,0.652,-0.439314402,-0.078173198,-0.0863749,0.1616644,0.658,0.472,0.808,0.696,0.877915317
47,../gan_data/adult/adult-VGAN-WTRAIN-split//sample_data_7_99_0.csv,0.876,0.001666117,0.000301412,0.0,0.280622203,0.0,0.0,0.752,0.5,0.852263892
48,../gan_data/adult/adult-VGAN-WTRAIN-split//sample_data_8_99_0.csv,0.456,-0.014710629,0.007580764,0.023180451,0.27881025,0.426,0.015,0.751,0.504,0.977082724
49,../gan_data/adult/adult-VGAN-WTRAIN-split//sample_data_9_99_0.csv,0.714,0.19911375,0.046660039,0.027553912,0.296938292,0.07,0.013,0.711,0.477,0.74841053
50,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_0_90_0.csv,0.624,-0.560683314,-0.089277486,-0.079022837,0.136160881,0.62,0.601,0.81,0.74,0.799807251
51,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_0_91_0.csv,0.603,-0.514486386,-0.079315966,-0.071021701,0.141222365,0.618,0.574,0.806,0.728,0.807740425
52,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_0_92_0.csv,0.583,-0.48712051,-0.064522679,-0.053053637,0.13733061,0.635,0.581,0.813,0.736,0.788046937
53,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_0_93_0.csv,0.569,-0.487191929,-0.064451674,-0.052839855,0.136692491,0.623,0.588,0.81,0.736,0.795695402
54,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_0_94_0.csv,0.543,-0.414932427,-0.042688418,-0.025467523,0.149327741,0.633,0.538,0.808,0.718,0.798276503
55,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_0_95_0.csv,0.519,-0.418907181,-0.024941923,0.010778106,0.141155192,0.633,0.575,0.812,0.732,0.785982549
56,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_0_96_0.csv,0.589,-0.491839734,-0.053978703,-0.02451828,0.139650953,0.634,0.579,0.813,0.734,0.790262476
57,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_0_97_0.csv,0.557,-0.463955896,-0.042689602,-0.00855446,0.139840356,0.623,0.575,0.809,0.73,0.793567266
58,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_0_98_0.csv,0.539,-0.408616323,-0.02107072,0.020216975,0.14531225,0.646,0.546,0.813,0.724,0.790859791
59,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_0_99_0.csv,0.524,-0.399739871,-0.02202439,0.017608442,0.150323496,0.629,0.538,0.807,0.717,0.799095158
60,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_1_90_0.csv,0.608,-0.465651017,-0.06283079,-0.060594163,0.136589,0.677,0.563,0.825,0.737,0.793949453
61,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_1_91_0.csv,0.622,-0.41181904,-0.057700277,-0.055170707,0.157021716,0.676,0.484,0.815,0.704,0.792590382
62,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_1_92_0.csv,0.7,-0.503350396,-0.10960443,-0.149151169,0.144799702,0.702,0.528,0.827,0.727,0.7915133
63,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_1_93_0.csv,0.612,-0.466958396,-0.067004215,-0.06635635,0.141402111,0.668,0.552,0.821,0.731,0.781465109
64,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_1_94_0.csv,0.691,-0.532036768,-0.116181463,-0.15039009,0.144478099,0.669,0.541,0.82,0.726,0.813745575
65,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_1_95_0.csv,0.692,-0.512548558,-0.105378509,-0.134168162,0.145054228,0.687,0.533,0.824,0.727,0.787241464
66,../gan_data/adult/adult-VGAN-1hot-gmm-split-60-WTrain-best/90//sample_data_1_96_0.csv,0.642,-0.471332247,-0.080539995,-0.093413922,0.144783238,0.678,0.533,0.822,0.725,0.785210318
